mean_iki_ms,variance_iki,burstiness,total_keys,backspace_rate,backspaces,distance_px,click_rate_per_sec,mouse_clicks,idle_time_ms
1844.1048387096773,38058014.81427764,20637.663334209832,373,0.1903485254691689,71,483,3.0791341698588326e-08,284,9223372036854
1844.1048387096773,38058014.81427764,20637.663334209832,373,0.1903485254691689,71,486,3.0899761915836876e-08,285,9223372036854
1844.1048387096773,38058014.81427764,20637.663334209832,373,0.1903485254691689,71,487,3.100818213308543e-08,286,9223372036854
1844.1048387096773,38058014.81427764,20637.663334209832,373,0.1903485254691689,71,490,3.133344278483108e-08,289,9223372036854
1873.8015873015872,38289492.43946835,20434.123174486176,379,0.19261213720316622,73,490,3.144186300207963e-08,290,9223372036854
1877.7394736842105,38093449.166336715,20286.866043027592,381,0.1942257217847769,74,493,3.155028321932818e-08,291,9223372036854
1882.9607329842931,37899203.13720171,20127.45272554648,383,0.19321148825065274,74,494,3.187554387107383e-08,294,9223372036854
1866.3367875647668,37533260.772584334,20110.65795984147,387,0.19121447028423771,74,496,3.198396408832238e-08,295,9223372036854
1863.071611253197,37092122.936048225,19909.123574213107,392,0.18877551020408162,74,497,3.220080452281948e-08,297,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3267540
1867.841836734694,37006397.398453854,19812.382756747407,393,0.19083969465648856,75,499,3.241764495731658e-08,299,9223372036854
1873.8778625954199,36926515.511799924,19705.935081945387,394,0.19289340101522842,76,501,3.252606517456513e-08,300,9223372036854
1873.8778625954199,36926515.511799924,19705.935081945387,394,0.19289340101522842,76,503,3.2634485391813683e-08,301,9223372036854
1873.8778625954199,36926515.511799924,19705.935081945387,394,0.19289340101522842,76,504,3.2634485391813683e-08,301,9223372036854
1873.8778625954199,36926515.511799924,19705.935081945387,394,0.19289340101522842,76,509,3.2742905609062234e-08,302,9223372036854
1898.8675,37170784.55994375,19575.23869356011,401,0.19201995012468828,77,509,3.2851325826310784e-08,303,9223372036854
1898.8675,37170784.55994375,19575.23869356011,401,0.19201995012468828,77,509,3.2959746043559335e-08,304,9223372036854
1886.862745098039,36530866.01547482,19360.637709541887,409,0.1882640586797066,77,511,3.2959746043559335e-08,304,9223372036854
1827.7712264150944,35245252.42171917,19283.18594381616,425,0.18352941176470589,78,511,3.2959746043559335e-08,304,9223372036854
1827.7712264150944,35245252.42171917,19283.18594381616,425,0.18352941176470589,78,514,3.3176586478056436e-08,306,9223372036854
1827.7712264150944,35245252.42171917,19283.18594381616,425,0.18352941176470589,78,514,3.3176586478056436e-08,306,9223372036854
1827.7712264150944,35245252.42171917,19283.18594381616,425,0.18352941176470589,78,514,3.3176586478056436e-08,306,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3327547
1827.7712264150944,35245252.42171917,19283.18594381616,425,0.18352941176470589,78,514,3.3176586478056436e-08,306,9223372036854
1827.7712264150944,35245252.42171917,19283.18594381616,425,0.18352941176470589,78,518,3.3393426912553537e-08,308,9223372036854
1887.8117647058823,36690785.70103816,19435.616615491595,426,0.18309859154929578,78,520,3.361026734705064e-08,310,9223372036854
1848.645308924485,35756987.931402504,19342.26525704133,438,0.1780821917808219,78,520,3.361026734705064e-08,310,9223372036854
1848.645308924485,35756987.931402504,19342.26525704133,438,0.1780821917808219,78,521,3.361026734705064e-08,310,9223372036854
1830.9017857142858,35037449.52160387,19136.71710573748,449,0.17371937639198218,78,522,3.371868756429919e-08,311,9223372036854
1801.480349344978,34317525.494155295,19049.625218855825,459,0.1721132897603486,79,523,3.382710778154774e-08,312,9223372036854
1755.646934460888,33296288.879572865,18965.25333540212,474,0.17088607594936708,81,523,3.382710778154774e-08,312,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,524,3.393552799879629e-08,313,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,526,3.393552799879629e-08,313,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,528,3.404394821604484e-08,314,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,529,3.426078865054194e-08,316,9223372036854
0.0,0.0,0.0,20,0.0,0,0,0.0,0,3387539
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,534,3.436920886779049e-08,317,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,535,3.447762908503904e-08,318,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,537,3.458604930228759e-08,319,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,538,3.480288973678469e-08,321,9223372036854
1734.45625,32841724.973085854,18934.88231431946,481,0.1704781704781705,82,539,3.501973017128179e-08,323,9223372036854
